	Indicators	Icode	Sub Indicator	SICode	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8
1	Community Awareness	MP01	Awareness on construction and use of toilets	MP0101	Meetings with  local communities , Panchayat members, women and youth groups etc.	Campaigns, rallies,street plays and wall paintings on importance of cleanliness and harmful effects of open defecation	Awareness on various government schemes and concerned departments	Liason with concerned departments, block and district administration	Showcase of films and documentaries and telecast of radio  shows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	Awareness programs and  workshops in schools			 Meetings with  local communities , Panchayat members, women and youth groups etc.	Awareness on various government schemes and concerned departments.	Liason with concerned departments, block and district administration.	Awareness on various government schemes and concerned departments	Showcase films and documentaries and telecast  radio  shows.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  				Training of community members for sensitizing other community members for toilet construction.	Regular onsite cleanliness and awareness activities. 	Liason with concerned departments, block and district administration					
2		MP01	Awareness on solid and liquid waste management	MP0102	Meetings on importance of solid and liquid waste management	Campaigns, street plays and wall paintings	Awareness on various government schemes and concerned departments	Liason with concerned departments, block and district administration	Awareness programs and  workshops in schools	Showcase of  films and documentaries and telecast of radio  shows                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                			Meetings on importance of solid and liquid waste management .	Wall writing and street plays	Awareness on various government schemes and concerned departments.	Liason with concerned departments, block and district administration	Awareness programs and  workshops in schools. 				Training of community members for sensitizing other community members on waste management.	Liason with concerned departments, block and district administration	Training of community members for making value products from waste.					
3		MP01	Awareness on renewable energy schemes, department and line agencies  	MP0103	Community level meetings with the involvement of  concerned department	Awareness on importance and use of renewable energy	Liason with concerned departments, block and district administration  for training and installation						Community level meetings with the involvement of concerned department.	Awareness on importance and use of renewable energy.	Liason with concerned departments, block and district administration for training and installation.						Training of community members for sensitizing other community members to use renewable energy.	Expolring use of renewable energy at village level i.e Street light, solar pumps etc.	Liason with concerned departments, block and district administration for training and installation.					
4	Community based institution	MP02	Frequency of meetings Scale	MP0201	Awareness meetings on importance of CBOs	Initiate formation of local level institutions	Discussion of project  objectives with the group	Motivate and train office bearers of the institution to carry out activities on biodiversity conservation	Ensure participation of women and marginal communities				Strengthening of local level institutions/groups	Discussion of program objectives with the group.	Motivate and train office bearers of the institution to encourage community to join in the conservation efforts.	Ensure participation of women and marginal communities.	Incorporation of conservation goals in the agenda of the institution.				Motivate and train office bearers of the institution to encourage community to join in the conservation efforts.	Ensure participation of women and marginal communities.	Incorporation of conservation goals in the agenda of the institution.					
5		MP02	Representation of women and marginal Community 	MP0202	 Awareness meetings on importance of institutions	 Initiate formation of local level institutions/groups	Ensure participation of marginal communities in the institutions formed	Meetings and trainings with the group to discuss project objectives and activities					 Awareness meetings on importance of institutions	Strengthening of local level institutions/groups	Meetings and trainings with the group to discuss project objectives and activities						Train women to motivate other women to participate in activities conducted by local level institutions. 	 Increase women participation in the institution and train them to prepare conservation and development plans						
6	Liveliood and skill development	MP03	Scheme Implemented 	MP0301	 Awareness on various livelihood, skill development schemes and conservation sensitive programmes through frequent meetings and workshops	Training Need Assessment	Motivate various groups of local communities to participate in livelihood,  skill development and conservation related initiatives	 Interaction with district and block administration regarding  potential trainings for local communities	  Link communities directly dependent on the Ganga River with various  skill development and conservation related programs	Link trained women and members of the local communities with subsidies and loan programmes to help them establish independent small businesses			Motivate various groups of local communities to participate in livelihood,  skill development and conservation related initiatives	Link communities directly dependent on the Ganga River with different livelihood schemes	 Interaction with district and block administration regarding  potential trainings for local communities	Link trained women and members of the local communities with subsidies and loan programmes to help them establish independent small businesses					 Link trained women and members of the local communities with subsidies and loan programmes to help them establish independent small businesses	 Promote locally made products using local produce	Motivate women to take livelihood and skill development trainings 	Facilitate Bank linkages and linkages with other agencies and training institutes				
7		MP03	Benefit through training centers	MP0302	Interaction with district and block administration regarding  potential trainings for local communities	Link trained women and members of the local communities with subsidies and loan programmes to help them establish independent small businesses	  Motivate more women to participated in livelihood and skill development trainings 	  Establish market for the products 	Encourage traditinal farming and farming methods				Interaction with district and block administration regarding  potential trainings for local communities	Link trained women and members of the local communities with subsidies and loan programmes to help them establish independent small businesses	  Establish market for the products 						Train women to make value added products and enhancing of entrepreneurial skills	Linking the group with NGO's and institutes for imparting training and marketing of products.	Exposure to advanced trainings centers 					
8		MP03	Representation of women in centers	MP0303	 Awareness on various livelihood and skill development schemes and programmes through frequent meetings and workshops	 Motivate and encourage women to participate in livelihood and skill development trainings 	Link trained women and members of the local communities with subsidies and loan programmes to help them establish independent small businesses	  Establish market for the products 					 Motivate and encourage women to participate in livelihood and skill development trainings 	Link trained women and members of the local communities with subsidies and loan programmes to help them establish independent small businesses	  Establish market for the products 						   Motivate more women to take livelihood and skill development trainings 	Introduce new and advanced livelihood and skill development workshopd and green entrepreneur trainings 						
9	Hygeine and sanitation	MP04	construction and use of toilets	MP0401	 Awareness through meetings, campaigns on hygiene and sanitation, use of toilets, impact on river and human health	Wall paintings and slogan writing 	Liason with district and block administration for construction of toilets in villages						 Awareness on hygiene and sanitation through meetings, campaigns and wall paintings etc. on use of toilets, impact on river and human health 	Liason with district and block administration for construction of toilets in villages							Motivate households  without toilet to construct and use toilets	Liason with district and block administration for construction of toilets in villages						
10		MP04	Access to dustbin installed by panchayat	MP0402	Awareness on use of dustbins	Liason with department for installation of dustbins	Initiate  fine and penalties with the support of Gram Panchayat 						Liason with department for installation of dustbins	Initiate  fine and penalties with the support of Gram Panchayat 	Awareness on use of dustbins						Liason with department for installation of dustbins	Initiate  fine and penalties with the support of Gram Panchayat 						
